Name,type,ratings,latitude,longitude,place_id
Escuela Holística Yoga Luna,gym,9,-24.7652093,-65.4019728,ChIJSwxkAc3DG5QRNlQX_sDpuIg
Invictus,hair_care,2,-24.7652563,-65.401054,ChIJFUJq10bDG5QRNP530bPBNuM
Salta,bar,0,-24.7652563,-65.4010538,ChIJ5XS8ofzDG5QRcTjl4zKKNis
Carniceria PAJARITO,butcher_shop,25,-24.8013831,-65.4449207,ChIJzQoG4lvCG5QRVDjDWYFFo70
Taller Mendez,car_repair,0,-24.8012831,-65.4452838,ChIJBYiQgJfDG5QRbZLStwp1qQ0
Marii,gym,3,-24.8020794,-65.4453944,ChIJvw6OnjbDG5QRrVAIQ0vHYgU
La Pulga,veterinary_care,52,-24.8013713,-65.4454425,ChIJIYvFV1nCG5QRZ4a0LEMKZg8
Texas Fast Food,restaurant,1,-24.8008495,-65.4443309,ChIJ8ZdiLS_DG5QRFHVoBXxNFj0
M&C Apart,lodging,19,-24.7755946,-65.4120502,ChIJV5ncajXDG5QRORZHCouguQE
Pañalera Moldes Sucursal Norte,diaper_service,0,-24.7755946,-65.4120502,ChIJwaACnfXDG5QRz79YGCvUhds
WCR ALQUILER DE AUTOS EN SALTA,car_rental,103,-24.8009123,-65.3998648,ChIJrdpEZqPDG5QR9f0TvEMWy_g
Despensa Mónica,grocery_store,1,-24.8010518,-65.3994496,ChIJNanc1nXDG5QRbZO1MD9raxY
El Vallecito,bakery,1,-24.8009358,-65.399982,ChIJl6jZBP3DG5QRQbmCYra7oqg
Iglesia Pentecostal,church,0,-24.8003674,-65.3998275,ChIJjwHsJEnDG5QRfsQHqa32-50
Nafrajo repuestos,car_repair,12,-24.8002076,-65.3992864,ChIJmb64YT3DG5QRAM39Lm1WEgM
Taller chapa y pintura,car_repair,4,-24.8010834,-65.4003652,ChIJ2RtZ64_DG5QRPex8VTCUoNc
Green Motion Car Rental Salta Center Office,car_rental,12,-24.8007248,-65.4004523,ChIJm8qJi7HDG5QReSs2vToWkT8
Centro Deportivo GYMNASTIC,gym,2,-24.8005131,-65.3989153,ChIJYUE_C7XDG5QRWo-nvyvzkYw
One,car_rental,21,-24.8008777,-65.4004953,ChIJw6TWUsPDG5QRs4rxLJuEbvs
Templo Buenas Nuevas,church,7,-24.7874497,-65.4239125,ChIJkajl57PDG5QR5aBAp4Cu_kY
KinesioSalta,beauty_salon+hair_care,4,-24.787473,-65.4241277,ChIJ5R8UInTDG5QRoug8oFkLim0
Miguel Saluzzi Taller de reparaciones del automotor,car_repair,132,-24.7875373,-65.4236787,ChIJV7-J3bPDG5QRyjgiBTqx30A
Gastro Santa clara - Endoscopia Digestiva,doctor,5,-24.7917667,-65.4158781,ChIJw9e2IemOgAURfk5TI1itOIw
Dr. Sebastian Fernández,doctor,4,-24.7917667,-65.4158781,ChIJ1f3m1nPDG5QRGDYIJ7er_Eo
Traumatología y Ortopedia,doctor,0,-24.7918379,-65.415999,ChIJSTypKBDDG5QR_kVTt-he564
